OverviewPage,League,Year,Split,SplitNumber,DateStart,Region,Level,IsPlayoffs,IsOfficial,DateStart__precision,stage
LCK/2020 Season/Summer Season,LoL Champions Korea,2020,Summer,2,2020-06-17,Korea,Primary,0,1,1,regular
LPL/2020 Season/Summer Playoffs,Tencent LoL Pro League,2020,Summer,2,2020-08-13,China,Primary,1,1,1,playoffs
LCK/2020 Season/Summer Playoffs,LoL Champions Korea,2020,Summer,2,2020-08-26,Korea,Primary,1,1,1,playoffs
LPL/2021 Season/Spring Season,Tencent LoL Pro League,2021,Spring,1,2021-01-09,China,Primary,0,1,1,regular
LCK/2021 Season/Spring Season,LoL Champions Korea,2021,Spring,1,2021-01-13,Korea,Primary,0,1,1,regular
LCK/2021 Season/Spring Playoffs,LoL Champions Korea,2021,Spring,1,2021-03-31,Korea,Primary,1,1,1,playoffs
LPL/2021 Season/Spring Playoffs,Tencent LoL Pro League,2021,Spring,1,2021-04-01,China,Primary,1,1,1,playoffs
LPL/2021 Season/Summer Season,Tencent LoL Pro League,2021,Summer,2,2021-06-07,China,Primary,0,1,1,regular
LCK/2021 Season/Summer Season,LoL Champions Korea,2021,Summer,2,2021-06-09,Korea,Primary,0,1,1,regular
LPL/2021 Season/Summer Playoffs,Tencent LoL Pro League,2021,Summer,2,2021-08-12,China,Primary,1,1,1,playoffs
LCK/2021 Season/Summer Playoffs,LoL Champions Korea,2021,Summer,2,2021-08-18,Korea,Primary,1,1,1,playoffs
LPL/2022 Season/Spring Season,Tencent LoL Pro League,2022,Spring,1,2022-01-10,China,Primary,0,1,1,regular
LCK/2022 Season/Spring Season,LoL Champions Korea,2022,Spring,1,2022-01-12,Korea,Primary,0,1,1,regular
LCK/2022 Season/Spring Playoffs,LoL Champions Korea,2022,Spring,1,2022-03-23,Korea,Primary,1,1,1,playoffs
LPL/2022 Season/Spring Playoffs,Tencent LoL Pro League,2022,Spring,1,2022-03-26,China,Primary,1,1,1,playoffs
LPL/2022 Season/Summer Season,Tencent LoL Pro League,2022,Summer,2,2022-06-10,China,Primary,0,1,1,regular
LCK/2022 Season/Summer Season,LoL Champions Korea,2022,Summer,2,2022-06-15,Korea,Primary,0,1,1,regular
LPL/2022 Season/Summer Playoffs,Tencent LoL Pro League,2022,Summer,2,2022-08-16,China,Primary,1,1,1,playoffs
LCK/2022 Season/Summer Playoffs,LoL Champions Korea,2022,Summer,2,2022-08-17,Korea,Primary,1,1,1,playoffs
LPL/2023 Season/Spring Season,Tencent LoL Pro League,2023,Spring,1,2023-01-14,China,Primary,0,1,1,regular
LCK/2023 Season/Spring Season,LoL Champions Korea,2023,Spring,1,2023-01-18,Korea,Primary,0,1,1,regular
LCK/2023 Season/Spring Playoffs,LoL Champions Korea,2023,Spring,1,2023-03-22,Korea,Primary,1,1,1,playoffs
LPL/2023 Season/Spring Playoffs,Tencent LoL Pro League,2023,Spring,1,2023-03-30,China,Primary,1,1,1,playoffs
LPL/2023 Season/Summer Playoffs,Tencent LoL Pro League,2023,Summer,1,2023-07-20,China,Primary,1,1,1,playoffs
LPL/2023 Season/Summer Season,Tencent LoL Pro League,2023,Summer,2,2023-05-29,China,Primary,0,1,1,regular
LCK/2023 Season/Summer Season,LoL Champions Korea,2023,Summer,2,2023-06-07,Korea,Primary,0,1,1,regular
LCK/2023 Season/Summer Playoffs,LoL Champions Korea,2023,Summer,2,2023-08-08,Korea,Primary,1,1,1,playoffs
LCK/2024 Season/Spring Season,LoL Champions Korea,2024,Spring,1,2024-01-17,Korea,Primary,0,1,1,regular
LPL/2024 Season/Spring Season,Tencent LoL Pro League,2024,Spring,1,2024-01-22,China,Primary,0,1,1,regular
LCK/2024 Season/Spring Playoffs,LoL Champions Korea,2024,Spring,1,2024-03-30,Korea,Primary,1,1,1,playoffs
LPL/2024 Season/Spring Playoffs,Tencent LoL Pro League,2024,Spring,1,2024-03-31,China,Primary,1,1,1,playoffs
LPL/2024 Season/Summer Placements,Tencent LoL Pro League,2024,Summer Placements,2,2024-06-01,China,Primary,0,1,1,regular
LCK/2024 Season/Summer Season,LoL Champions Korea,2024,Summer,2,2024-06-12,Korea,Primary,0,1,1,regular
LCK/2024 Season/Summer Playoffs,LoL Champions Korea,2024,Summer,2,2024-08-23,Korea,Primary,1,1,1,playoffs
LPL/2024 Season/Summer Season,Tencent LoL Pro League,2024,Summer,3,2024-07-05,China,Primary,0,1,1,regular
LPL/2024 Season/Summer Playoffs,Tencent LoL Pro League,2024,Summer,3,2024-08-03,China,Primary,1,1,1,playoffs
